newest_id	lat_lng	typename	typename1	name	gps	pure_distance	cityname
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	壹方齿科	113.881260,22.593843	1.8243541034155462	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳依芽口腔诊所	113.888813,22.584760	1.8416782643375313	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳匠承口腔诊所	113.894834,22.582465	1.8585270012351331	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	启飞齿科(西乡店)	113.885386,22.586769	1.881489298441832	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;骨科医院	正康骨科	113.889813,22.583802	1.8842985803300845	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;骨科医院	深圳正康骨科医院-急诊	113.889869,22.583742	1.8876271884373557	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;骨科医院	深港特色骨科医院	113.889756,22.583792	1.8879491694478192	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;骨科医院	微创特色骨科医院	113.889870,22.583679	1.8938154851873665	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;骨科医院	宝安骨科医院	113.889832,22.583650	1.898438433628693	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	荟悦城口腔	113.895830,22.581974	1.896588061165947	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳荟悦城口腔诊所	113.895866,22.581924	1.9016270392751702	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	常艳艳口腔诊所	113.879482,22.595286	1.9595347231284215	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	恒安康齿科连锁	113.879330,22.595342	1.9735531566517828	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳艾美德口腔诊所	113.888855,22.583326	1.9769810078546244	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳新罡正口腔	113.878999,22.595107	2.0122579894759007	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;妇科医院	深圳宝生妇产医院	113.895584,22.581027	2.003824199540628	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;专科医院	深圳宝生妇儿科医院	113.895597,22.581011	2.0054074195676233	深圳市
