"floor_name"
.奥园誉湖湾（自编号2栋）
.奥园誉湖湾（自编号6#）
.奥园誉湖湾（自编号7栋、8栋）
.学府花园
.花都尚品雅居（扩展）商业、办公楼1-2栋
"024.缤纷广场(保工印象)"
"024.缤纷广场（保工印象）"
"024?缤纷广场(保工印象)"
"024缤纷广场(保工印象)"
"06幢地下车库"
"1 、5商住楼"
"1#-12#住宅(水木康桥)"
"1#-20#厂房"
"1#-6#住宅"
"1#-6#住宅1#2#网点"
"1#-8#、1a#、3a#、5a#、地下"
"1#12#住宅（水木康桥）"
"1#2#厂房、综合办公楼、门卫室、"
"1#、2#厂房、综合楼、科研楼、收发室"
"1#、2#库房"
"1#厂房、2#生产厂房、实验楼、门卫换热站、消防水池、水泵房"
"1#厂房、3-13#厂房、15-39#厂房、综合楼"
"1#厂房，2#厂房"
"1#库房"
"1#库房、2#厂房、3#库房、附属用房、南、东门卫室"
"1#，2#，3#生产厂房，收发室"
"1#～6#及地下车库"
"1-14#商业"
"1-14农产品批发市场 15商业"
"1-18#电大教师住宅楼"
"1-9#、25-30#、幼儿园、车库、地下室"
"10-24#楼"
"10＃、18＃、19＃、27＃、28＃住宅楼"
"13#-22#住宅"
"139地区住宅A区"
"139地区住宅B区"
"18、19、21、22、25、26住宅、二期2#车库"
"19#、20#、25#、26#、28#、29#住宅楼"
"19#、20#、25#、26#、28#、29#住宅楼（泉涌新镇）"
"19#、20#、25#、26#住宅"
"1世界"
"1号\2号住宅楼(新里程)"
"1号、2号住宅楼"
"1号，2号，3号，4号生产厂房"
"1综合厂房、2综合厂房、3综合厂房、4综合厂房"
"2#-19#住宅"
"2#-19#住宅(花园一号)"
"2#厂房、3#厂房"
"2#地块居住、商业（1.1期）1组团"
"2#档口、3#档口、4#档口"
"2007-089万德地块（二期）"
"2007-089号万德地块（一期）"
"2011-04 地块一期"
"2011-04地块二期"
"2011-07-28"
"2011-09-02"
"2016测试"
"2018-03-27"
"2018-11-09"
"2019-004号田义-1地块项目"
"2019-10-12"
"21#、24#、25#、26#"
"21世纪国际商务总部"
"23#-32#住宅(七里香堤)"
"24#住宅"
"26#住宅楼"
"2＃、3＃厂房"
"3#住宅楼"
"33号，34号住宅楼"
"35、36号楼"
"37、38、39号楼"
"4.1期"
"44-52#54-56#58-60#厂房"
"4号商务办公楼、5号商业楼"
"5#6#7#楼"
"5#楼、6#楼、7#楼"
"8#生产厂房"
"8号楼C座变更"
"9.1期"
"9.2期"
??商务中心
?湖郡
?阳江南壹号-1
A#，B#住宅
"A-1#～5#楼、A-W1#楼、
B-1#～B-13#楼、E-1#～E-13#楼"
"A-1～5#楼、A-W1#、A-W2#楼、
B-1～13#楼、E-1～13#楼"
A-C通道、C栋接层
A1、3、7、11~13北住宅，B106、206、306、408北住宅，碧桂园.太阳城21、29、30、35~39、50~53、109~112
A1、A3、A5~7、A10~13、B106、B404、B204、B208、B406、B403、B504、B506、B508北住宅
A1、A3、A5、A7、A11-13、B1-4、B104（X）、B306（X）北
A6-A8号住宅楼
A9-A13号住宅楼
AB座高层住宅楼
B7#、B8#、、、B15#
C10-1A地块
C号公寓式酒店
C座高层
E佰家园
E号住宅
F28号住宅楼变更
F6地块居住、商业
"G1#-G8#，D1#-D6#住宅楼，
1#，2#，G8#商业网点"
G1#-G8#，D1#-D6#住宅楼，1#，2#，G8#商业网点
G9综合楼
GN-ZD-01-03-2/04-1/04-2地块房地产项目（A区）
GN-ZD-04-03/06地块居住、商业项目
NO.2009G75地块
S1-S5号建筑
S3、S4、S3S4地下室及车库、S5、Y1至Y4地下设备用房
SM水岸云庭
S．R新城住宅(二期工程)
TESCO沈阳北海
US联邦大厦
YH2019-03号于洪区丁香湖19号地块居住、商业（一期）项目
YH2019-03号于洪区丁香湖19号地块居住、商业（二期）
YHKF2012-024于洪区沈于路西2号地块（恒大盛京?庭2号地块2.2期项目）
YHKF2012-024于洪区沈于路西2号地块（恒大盛京珺庭2号地块2.2期项目）
“11号工程”模型加工车间、进气道试验室
“万晟大厦”一期、万晟大厦二期
“万科新榆公馆”五期
“不莱梅区”住宅二期
“世纪新城”五期A1、2、5、6号住宅楼
“亚泰花园”住宅二期
“亚泰花园”住宅二期局部变更
“假日?伊丽雅特湾”住宅二期
“假日·伊丽雅特湾”住宅二期
“六合一方”A区一期
“六合一方”B区一期
“六合一方”小区E区项目
“兴隆山老镇区棚户区”回迁楼项目
“古城南二期”
“君华又一城”四期（D7-D11栋）
“唯美品格”住宅小区35#、36#、37#、18#楼变更
“唯美品格”住宅小区五期
“嘉华新城”住宅
“圆梦园”小区
"“塞纳家园”住宅
(二期局部)"
"“塞纳家园”住宅
（二期局部）"
“塞纳家园”住宅（二期局部）
“宝地铭门世家花园”房地产项目（一期）
“宝地铭门世家花园”房地产项目（二期二批-1）
“宝地铭门世家花园”房地产项目（二期首批）
“富城春天”房地产项目
“富源汇居”项目
“左岸慧晶”住宅小区三期
“慧缘馨村”住宅三期
“慧缘馨村”住宅二期
“文澜苑”住宅小区南区(一期)
“新华.佰代宜居”住宅小区（局部）
“新榆公馆”住宅小区
“新榆公馆”住宅小区30-33号楼
"“新街坊”住宅1-3＃、
9-13＃、20＃、21＃"
“新街坊”住宅1-3＃、9-13＃、20＃、21＃
“新里程”住宅二期
“时代逸居”
“正大江南水乡”住宅小区
“正大江南水乡”住宅小区一期
“沈阳万科新榆公馆”住宅小区13号楼
“沈阳万科新榆公馆”住宅（一期二区）
"“河畔新城”住宅小区
（六期A座）"
“河畔新城”住宅小区（六期A座）
“河畔新城”住宅小区（六期B.C座）
“爱家郦都”住宅小区一期
“爱家郦都”住宅小区二期
"“瑞成.万方园”
房地产开发项目"
“瑞成.万方园”房地产开发项目
“石台新苑”
“祥和家园”二期
"“金地国际花园”
住宅小区一、二期"
“金地国际花园”住宅小区1、34号楼
“金地国际花园”住宅小区一、二期
“金地国际花园”住宅小区三期
“金地国际花园”住宅小区三期26、27号楼
“金地国际花园”四期
“金地檀郡”住宅小区
"“金域蓝湾”
住宅小区北区局部"
“金域蓝湾”住宅小区北区局部
“金域蓝湾”住宅小区延河局部
“金域蓝湾”住宅小区沿河局部.
“金水花城”住宅小区二期局部变更
“金沙湾花园”四区商住小区
“金河湾”二期
“阳光硅谷”商业办公综合项目（一期）
“雷明雅阁”h1～h3＃楼、h5～h7＃楼、1＃～3＃、5＃～13＃、15～17＃楼、设备用房
”江南甲第“一期西区1～4＃、6～13＃、16～18＃、20～24＃住宅楼、6a、6b、20a楼
《滨河湾》一期项目
《滨河湾》项目二期
一克拉·君顶国际
一号厂房
一品山湖花园G-1栋、G-2栋
一品山湖花园G-3栋、G-4栋
一品山湖花园住宅楼、公建、地下室（F-1栋、F-2栋、P）
一品山湖花园商业、住宅楼（YP-1、E-1栋~E-3栋）
一品山湖花园商业、住宅楼（YP-2、E-4栋~E-6栋）
一品山湖花园商业、住宅楼（YP-3、J-1栋、J-2栋）
一品洋房
一品红城
一品红城三期
一品红城五期
一品红城四期
一品骊城
一方云顶大厦
一期1#-13#楼
一期B区
一期厂房、办公楼、门卫房、附房
一期厂房扩建
一汽26街区棚户区二期改造项目
一汽45街区
一汽49D街区棚户区（危旧房）改造项目
一汽二十五街区
一汽五十四街区B区二期
一汽家园三期
一汽车轮小区
一汽马自达汽车销售办公楼及附属商业
一汽２８Ｂ小区
一观园
丁山桂墅园
丁香水岸1.1期
丁香水岸2.1期
丁香水岸（3.1期）
丁香花园
七十年代家园
七家湾花园
七方紫东苑
七星九龙湾B区（一期）
七星九龙湾二期
七里别院
七里楠花园
七里香堤
七里香堤4.3期
七里香堤4.3期11#、12#
七里香堤4.3期43#45#46#47#48#住宅楼
"七里香堤4.3期43#、45#、
46#、47#、48#住宅楼"
七里香堤9#
七里香堤9#、10#、33#-42#
万丰·王子公寓
万丰花苑
万众家园住宅、写字楼
万众汽车综合服务店
万信花园
万信金庭公馆
万兴花园
万华花园（自编H1、H2、H3栋）
万合豪庭三期
万合豪庭二期A地块
万合豪庭二期（B地块）
万和.郦景住宅部分
万和.郦景商业部分
万和家园
万和尊邸
万和源居地下车库
万和阁·精致的家
万和顺景
万嘉花园
万地雅涛阁自编1号住宅、自编2号住宅、自编3号楼及地下室
万家茗苑
万家茗苑二期
万德福花园
万德综合楼
万恒领域
万悦城
万星北城上院A区
万星幸福城A区
万星幸福城B区一期
万晟.丽水香堤
万晟·幸福里
万晟·清华园E地块
万晟·爱琴海
万晟·金地公馆
万晟商都大厦
万晟现代城
万晟现代城18号楼
万景佳苑
万樾台
万欣翠园
万汇城南区
万汇城（北区）
万汇秀林水苑
万江共和新城人和苑
万江北山园
万浦小镇A地块
万浦小镇B地块
万滨·百花郡（二期）
万熹绿景一期
万熹绿景一期地块二
万盛·中央一品
万盛·中央一品C区
万盛·国邦棚户区改造项目
万盛·理想国B组团
万盛·理想国C组团
万盛·理想国D组团
万盛·理想国E组团
万盛小区
万盛珑玺A组团
万盛珑玺B组团
万盛理想国A组团
万盛理想国A组团南官舍项目
万盛理想国H组团综合楼
万盛苑二期7、8栋
万福城
万福小区
万福小区福阳苑
万福小筑
万福居小区
万科.四季花城
万科·时代之光
万科·金域长春
万科上东区
万科东荟花园A17栋
万科东荟花园B1、B2、B4、B5、B6栋
万科东荟花园B3栋
万科东荟花园B7栋
万科东荟花园小学（自编号GJ2）
万科东荟花园幼儿园(自编号GJ-1)
万科东荟花园自编A11、12栋
万科东荟花园自编A13、A14栋
万科东荟花园自编A15、A16栋
万科东荟花园自编A1A2栋
万科东荟花园自编A20栋
万科东荟花园自编A21A22栋
万科东荟花园自编A5A6栋
万科东荟花园自编A7、A8栋
万科东荟花园自编A9、A10栋
万科东荟花园自编号A18、A19栋
万科东荟花园自编号A3A4栋
万科东荟花园（扩展）C1、C18、GJ-1栋
万科东荟花园（扩展）C2C3栋
万科东荟花园（扩展）自编C11、C12栋
万科东荟花园（扩展）自编C15栋
万科东荟花园（扩展）自编C16、C17、D10、D11栋
万科东荟花园（扩展）自编C4栋
万科东荟花园（扩展）自编C5、C6、C13、C14、D12、D13栋
万科东荟花园（扩展）自编C7栋、C8栋
万科东荟花园（扩展）自编C9栋、C10栋
万科东荟花园（扩展）自编D14栋
万科东荟花园（扩展）自编D1栋、D8栋
万科东荟花园（扩展）自编D2D4D5D6栋
万科东荟花园（扩展）自编D3D7栋
万科东荟花园（扩展）自编D9栋
万科东荟花园（扩展）自编号幼儿园
万科中央公园
万科云山花园A1栋
万科云山花园C1C2栋
万科云山花园F1栋、F2栋
万科云山花园GJ-2(商业)
万科云山花园小学
万科云山花园幼儿园
万科云山花园（B1、B2栋）
万科云山花园（自编A4栋）
万科云山花园（自编B3、B4栋）
万科云山花园（自编C3、C4、C5栋）
万科云广场
万科云庐
万科侨城里
万科假日风景二期
万科光明城市花园
万科兰乔圣菲
万科兰乔圣菲六期
万科兰乔圣菲（一期）
万科兰乔圣菲（三期）
万科兰乔圣菲（二期）
万科兰乔圣菲（五期）
万科兰乔圣菲（四期）
万科北宸之光
万科南方公元花园万科南方公元幼儿园项目
万科南方公元花园自编A1、A2栋
万科南方公元花园自编A3、A4栋
万科南方公元花园自编A5、A6、A7、A8栋
万科南方公元花园自编B1、B2栋及地下室
万科南方公元花园自编B3-B9栋
万科南方公元花园自编C1-C4栋
万科南方公元花园自编D1-D3栋
万科南方公元花园自编S1、S2、S3、S4、S5栋
万科四季公寓
万科四季花苑大家一期（B地块）项目
万科四季花苑大家二期（C地块）项目
万科四季都会
万科城
万科城4.2期
万科城45#地块
万科城47地块
万科城48#地块
万科城一期一区
万科城一期三区
万科城一期二区
万科城一期四区
万科城七期
万科城三期一区
万科城二期一区
万科城二期二、三区
万科城二期四区
万科城市之光
万科城市之光B地块
万科城市之光（一期）
万科城市之光（二期）
万科城市花园
万科城市花园小学
万科城市花园（幼儿园）
万科城市花园（自编号七组团）
万科城市花园（自编号八组团K栋）
万科城市花园（自编号八组团L栋）
万科城市花园（自编号八组团M栋）
万科城市花园（自编号六组团）
万科城市阳光花园
万科城花北库
万科城花园
万科城花园(扩展)B1-9商业
万科城花园自编E1-E4栋住宅楼
万科城花园自编F12-F14栋住宅楼
万科城花园自编GJ1，GJ2，GJ4，GJ5商业楼
万科城花园自编H59-H76栋住楼
万科城花园（扩展）
万科城花园（扩展）A1-A5栋商业
万科城花园（扩展）自编B1-B9栋
万科城花园（扩展）自编C1-C2栋
万科城花园（扩展）自编C14-C32栋
万科城花园（扩展）自编C3-13、C33-C42
万科城花园（扩展）自编C43-C52栋
万科城项目43#地块
万科城项目44#地块
万科培山园商业，公建（自编号T2）
万科培山园自编号U1栋，连体
万科培山园自编号U2栋，连体
万科培山园自编号U3，连体
万科培山园自编号V1栋、V2栋
万科培山园自编号V7栋
万科大都会商业、居住项目
万科天景花园
万科天景花园E1、E2、E3、E4栋
万科天景花园F1、F2栋
万科如园
万科尚城御府商业C3栋
万科尚城御府商业（自编号C1栋）、公建（自编号S14栋）、商业（自编号D1栋）、商业公建、其他（自编号DX）
万科尚城御府自编A10、S7b栋
万科尚城御府自编A1栋
万科尚城御府自编A3、S4栋
万科尚城御府自编A4栋
万科尚城御府自编A5栋
万科尚城御府自编A6、S5、S6栋
万科尚城御府自编A7栋
万科尚城御府自编A8、S8a栋
万科尚城御府自编A9、S7a、S8b栋
万科尚城御府自编B1栋
万科尚城御府自编B4栋
万科尚城御府自编B5栋
万科尚城御府自编B6栋
万科尚城御府自编B7栋
万科尚城御府自编B8栋
万科尚城御府自编B9栋
万科尚城御府自编C2栋
万科山景园M11栋、M10栋
万科山景园住宅N5栋-N8栋
万科山景园住宅自编M1栋
万科山景园住宅自编M2、M3栋
万科山景园住宅自编M4栋
万科山景园住宅自编M8、M9栋
