"sale_telephone"
		
""
"0"
"0031-85829999"
"0300-86566666"
"031067692222"
"0311-"
"0311-61866666"
"0311-66018888"
"0311-66158888"
"0311-66159999"
"0311-66500888"
"0311-66517666/66517888"
"0311-66519999"
"0311-66562298"
"0311-66576666"
"0311-66682888"
"0311-66699999"
"0311-66883333"
"0311-66885555"
"0311-66887777"
"0311-67007888"
"0311-67268888"
"0311-67591515"
"0311-67598888"
"0311-67692222"
"0311-67699999"
"0311-67901552"
"0311-6790155267901590"
"0311-67901981/1579"
"0311-6790198167901579"
"0311-67903129"
"0311-67905620"
"0311-67905735"
"0311-68007888"
"0311-68008276"
"0311-68008777"
"0311-68011111"
"0311-68019666"
"0311-68029999"
"0311-68055563"
"0311-68124062"
"0311-69078888"
"0311-69109999"
"0311-80688888"
"0311-80797988"
"0311-80925555"
"0311-80936888"
"0311-82626666"
"0311-82627777"
"0311-82806888"
"0311-83076666"
"0311-83111089"
"0311-83626666"
"0311-83631111"
"0311-83636666"
"0311-836366666"
"0311-83639999"
"0311-83995077"
"0311-85032009"
"0311-85258888"
"0311-85275555"
"0311-85285599"
"0311-85325555"
"0311-85327777"
"0311-85510219"
"0311-85537777"
"0311-85613222"
"0311-85661777"
"0311-85819999"
"0311-85829999"
"0311-85832826"
"0311-85836666"
"0311-85850737"
"0311-85866888"
"0311-85908999"
"0311-85926666"
"0311-85928888"
"0311-85928895"
"0311-860118888"
"0311-86018888"
"0311-86024689"
"0311-86027111"
"0311-86029999"
"0311-8608888"
"0311-86088888"
"0311-86105556"
"0311-86239999"
"0311-86251985"
"0311-86566666"
"0311-86786555"
"0311-86882777"
"0311-86888888"
"0311-86908777"
"0311-87102222"
"0311-87108006"
"0311-87368888"
"0311-87795222"
"0311-87888888"
"0311-88811888"
"0311-88818888"
"0311-88866690"
"0311-88990000"
"0311-89107888"
"0311-89185555"
"0311-89188999"
"0311-89216666"
"0311-89228888"
"0311-89250000"
"0311-89268613"
"0311-89627777"
"0311-89696666"
"0311-89888888"
"0311-89889999"
"0311-89898111"
"031158327777"
"031166018888"
"031166500888"
"031166559999"
"031169078888"
"031183055555"
"031183639999"
"031185522777"
"031185928888"
"031185928895"
"031186168888"
"031186251985"
"031186618669"
"031187858888"
"031188558855"
"031188831666"
"031188839990"
"03118887136"
"031188871366"
"031188998888"
"031189216666"
"031189889990"
"031189889999"
"031189898111"
"0514-80189999"
"0514-80328888"
"0514-80361111"
"0514-80388888"
"0514-80588888"
"0514-80663888、0514-80667888"
"0514-80827777"
"0514-80880888"
"0514-80881188"
"0514-80936999"
"0514-80957777"
"0514-80996666"
"0514-80998888"
"0514-82059999"
"0514-82066666"
"0514-82079999"
"0514-8208 8999"
"0514-8209 8999"
"0514-82090999"
"0514-82099999"
"0514-82129999"
"0514-82138888"
"0514-82166666"
"0514-82181888"
"0514-82189999"
"0514-82199999"
"0514-8227 9888"
"0514-82273888"
"0514-82280088"
"0514-82288888"
"0514-82386888"
"0514-82666666"
"0514-82726666"
"0514-82761999"
"0514-82768666"
"0514-82776666"
"0514-82777999"
"0514-82811111"
"0514-82812888"
"0514-82816666"
"0514-82829888"
"0514-82833333"
"0514-82862888"
"0514-82866666"
