id    |ods_id|ods_table_name        |city_id|newest_id                       |newest_name       |address                          |lnglat                |poi_num|dr |create_time          |update_time          |
100259|      |dws_db.dws_newest_info|330200 |08e754353673792b008a3f081884bbb9|新鸿-光悦里            |南雷南路与黄山西路交汇处                     |121.1574380,30.0191900|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100260|      |dws_db.dws_newest_info|350100 |08e75efcf0c11b19a8dabc17731f2f2b|永泰-泰禾红峪           |旗山路                              |118.9655650,25.8652490|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100261|      |dws_db.dws_newest_info|441900 |08eab42cccb746d0257c14d16b19cc8d|上东原筑花园            |东莞市东坑镇新门楼村                       |113.9488470,22.9963280|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100262|      |dws_db.dws_newest_info|110000 |08eac41c4ce7b84d87a0beb8037bbb5f|北科建翡翠华庭           |京密路辅路与怀杨路交叉口东侧100米               |116.6546140,40.3105400|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100263|      |dws_db.dws_newest_info|440300 |08ede0d9f8bbc2418bd8a3fc046e7d7f|东关珺府              |坪山区坪山马峦街道江岭路与比亚迪路交汇处             |114.3594900,22.6849850|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100264|      |dws_db.dws_newest_info|330100 |08f3067731293db8e2f011fa07d99626|中企艮山府             |运河东路中企艮山府                        |120.2170960,30.2799810|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100265|      |dws_db.dws_newest_info|360100 |08f40d6798db401f4a9086be4a6b0909|新力鸿园              |青云谱区广州路与城南大道交汇处                  |115.9463130,28.6202460|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100266|      |dws_db.dws_newest_info|310000 |08f768a1019b7e913d9090cd3cd49c95|松江区洞泾镇新农河三号-1地块   |东至李家弯路，南至长兴路，西至陆家圈路，北至蔡家浜路       |121.2808240,31.0860140|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100267|      |dws_db.dws_newest_info|370600 |08f78afc2086abb6e73bbc3f896fdb1a|天成花苑              |通海路602号                          |121.5981570,37.3777380|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100268|      |dws_db.dws_newest_info|370200 |08fa1e5ff57be311b789fba2fa29c6af|青橙时代              |海尔大道与齐长城路交汇处                     |120.1461160,35.9883910|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100269|      |dws_db.dws_newest_info|330300 |08fa4c85eb3a6a51daa1549ae7a97b59|融创德信-江山云起         |江滨东路与杨府山西路交叉口向南100米              |120.7081980,28.0150290|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100270|      |dws_db.dws_newest_info|460200 |08fb30b1887b0a83a70b31eb1391e709|希望棋子湾             |昌江昌化镇广德路希望棋子湾查看地图                |109.4959740,18.2579490|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100271|      |dws_db.dws_newest_info|410100 |08ffbed4843758fb6197f1f79ace2552|领地天屿              |科学大道与京城路交叉口南300米                 |113.4123490,34.8104580|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100272|      |dws_db.dws_newest_info|500000 |0900969dc181abb2603d7a64be796ede|凰冠壹号              |凤岭路陈家坡２号（长寿汽车站附近）                |107.0801950,29.8342090|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100273|      |dws_db.dws_newest_info|330100 |0901dd8a60d562d75046a765f99c351f|大美公寓              |玩月街大美公寓                          |120.3072010,30.4049480|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100274|      |dws_db.dws_newest_info|330100 |090341a957f30eac330f57ca64d187ba|东城印象              |新塘路(南为景芳六区,北至规划严家弄路)             |120.2076500,30.2732000|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100275|      |dws_db.dws_newest_info|360700 |0903f847c184e1e5daa080b4e9a47512|星河广场              |金东路星河广场                          |114.9154400,25.8447790|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100276|      |dws_db.dws_newest_info|430100 |0903ff2234bd54ff0dd19bf3c9380d78|南郡明珠              |中意二路527号（107国道大托收费站南800m牛角塘村）    |112.9762340,28.0371830|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100277|      |dws_db.dws_newest_info|110000 |090535b840f52b760afa7b5ae556717a|恭和家园              |双园路19号院                          |116.5708490,39.8948160|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100278|      |dws_db.dws_newest_info|450100 |09054528f43cf5ff63f6a82ecb54b587|云星钱隆天下            |竹溪大道26-2号                        |108.3655610,22.7977160|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100279|      |dws_db.dws_newest_info|350200 |0906b1b3c7a0a7c9fb18b359a04e988f|特房康乐新村            |南山路195-197号                      |118.1103070,24.5050930|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100280|      |dws_db.dws_newest_info|441900 |0907978bb8d0db34a8a024be4f8bb2bb|德盛尚峰              |石大公路德盛尚峰                         |113.8554420,23.0702360|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100281|      |dws_db.dws_newest_info|441300 |0908c12a66473d6899d1161b0d787247|新城悦隽              |龙溪龙桥大道曼亨顿酒店旁                     |114.1196550,23.1351420|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100282|      |dws_db.dws_newest_info|440300 |090d214bcdcb0a7dec8c82ecc8738bb5|沙河观景阁             |沙河东路与新中路交汇处                      |113.9669310,22.5437970|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100283|      |dws_db.dws_newest_info|320100 |090d98fa7457ecf072bb31bb95e138f8|宝能睿城              |邗江扬子江北路汽车城向北500米（创智湖畔）查看地图       |118.7364170,32.2262190|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100284|      |dws_db.dws_newest_info|330100 |09108b49cc886030ab1781c998a6f986|云上金铭府             |华虹路与金秋大道交叉口                      |119.9115200,30.0506700|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100285|      |dws_db.dws_newest_info|320400 |0912cb2daa64da2cea48913d0e6b0356|锦里1936            |天宁区劳动中路与丽华北路交汇处                  |119.9807360,31.7624900|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100286|      |dws_db.dws_newest_info|340100 |0913659de5e678236e425b563dad90d2|上铁银欣花园            |合欢路与香樟大道交叉口                      |117.1947290,31.8241420|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100287|      |dws_db.dws_newest_info|110000 |091432da53b3d78aaacf80ddc148afda|知春里               |海淀知春路路口以南约70米路东                  |116.3208360,39.9764660|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100288|      |dws_db.dws_newest_info|440100 |09163ec6a3598f298dcf73732f389064|雅居乐万科热橙           |机场高速花山出口雅居乐万科热橙                  |113.2794660,23.4418340|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100289|      |dws_db.dws_newest_info|130100 |0918afa58494cee35d795664c9da9327|盛佳锦绣家园            |石栾大街与裕泰路交口西南角                    |114.6348430,37.8965760|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100290|      |dws_db.dws_newest_info|430100 |091da92f4e28f5f478cb9dde1d48e7df|浏阳湾田和悦家园          |浏阳市道吾山西路与胡家路交汇处东南角（新人民医院斜对面）     |113.6277220,28.1588730|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100291|      |dws_db.dws_newest_info|360700 |091f489a448da0d6bf2ac90de3d98548|保利-时光印象           |章贡区滨江路奥特莱斯旁                      |114.9457780,25.8021440|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100292|      |dws_db.dws_newest_info|320500 |0922649c17a5316163898aa0260fd39f|天地壹号              |光福苏福路与邓尉山路交汇处（光福镇政府东北侧）          |120.3925060,31.2822670|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100293|      |dws_db.dws_newest_info|130200 |09231cb08552bce9f8da98b981894042|澜轩居               |稻地镇政府东侧                          |118.1957670,39.5413030|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100294|      |dws_db.dws_newest_info|321000 |09265ef3196c19d5c9da573f5868c532|大和金甸园             |邗江区瘦西湖路北段钢材市场向北200米              |119.4398270,32.4457550|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100295|      |dws_db.dws_newest_info|210100 |0926a20373084658ac4b0e09b2f3054b|坤泰云著              |葫芦岛·龙湾CBD·海晏南路（市图书馆斜对面）          |123.4358950,41.7600470|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100296|      |dws_db.dws_newest_info|370300 |0928fae4f3f5651d2185edaf02073421|华润中央公园            |人民西路1号（人民路与中心路交叉口）               |118.0601880,36.8102420|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100297|      |dws_db.dws_newest_info|120000 |092a34018de2e80854520999d6cd02cc|新华东里              |滨海新区-新港-新华路                      |117.6757700,39.0111070|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100298|      |dws_db.dws_newest_info|510100 |092cca97f48f2751c591fa054dd8c12b|北辰朗诗南门绿郡          |天府三街与康华路交汇处南侧                    |104.0342050,30.5458430|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100299|      |dws_db.dws_newest_info|370600 |092e27b7e17739919064d20fe6ee35c9|海韵苑               |南山东海黄金海岸                         |120.4377890,37.7318040|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100300|      |dws_db.dws_newest_info|530100 |0931b2417f087d5080be96d22d2b2882|丽水雅苑              |北京路丽水雅苑                          |102.7421470,25.1067410|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100301|      |dws_db.dws_newest_info|320300 |0932ce089145787f853f9f9cfa530436|恒地橡树湾             |邳州市文苑路与中山路交汇处                    |117.9962420,34.3177820|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100302|      |dws_db.dws_newest_info|440100 |09332aa3afcd88abcca0b1dc2caa7ba0|功夫小镇              |南沙区上隆岭路1号真功夫总部大楼                 |113.5471310,22.7948460|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100303|      |dws_db.dws_newest_info|420100 |09354c9417c2852b973a4c91fc5789c9|幸福时代              |百步亭花园路160到162号                   |114.3134720,30.6558140|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100304|      |dws_db.dws_newest_info|530100 |0936f42b87e25635855cbb65a2a66b74|郦国温泉花园            |县城老昆石公路水立方对面                     |103.1590660,24.9178950|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100305|      |dws_db.dws_newest_info|360400 |0938e08903dad8f2ed2715c3aa055b5c|中辉外滩              |九瑞大道与都昌路交汇处                      |115.9342920,29.7015070|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100306|      |dws_db.dws_newest_info|130100 |0939715c474bf49af5e185d647905bdb|盛益华苑              |长安体育北大街与谈北路交口西南角                 |114.5324540,38.0509460|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100307|      |dws_db.dws_newest_info|460100 |093bda8df0ce5f70cde0ad89a772e345|书馨花苑              |龙华区海口市苍峄路与椰海大道交汇的东北角查看地图         |110.3232130,19.9761550|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100308|      |dws_db.dws_newest_info|310000 |093cfa804c5d47391c0b7debdda835fb|博捷名苑              |冬融路245弄（张杨北路、航津路口）               |121.5890330,31.3310170|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100309|      |dws_db.dws_newest_info|321000 |093d10a99c51e3a44b19029b39d1c869|翡翠公园              |文昌路与人民路交会处北700米                  |119.7485930,32.5604640|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100310|      |dws_db.dws_newest_info|520100 |093d97c828259cb0fe8c690fba151ecf|金华园               |石标路63号                           |106.6350170,26.6476370|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
100311|      |dws_db.dws_newest_info|440100 |093e4c951205935937048925573bd371|珠光云山云山壹号          |广州大道北云灏街157医院地块                  |113.3318220,23.1935530|0      |0  |2021-09-08 13:13:52.0|2021-09-08 13:13:52.0|
